item_id,entity,claim_a_value,claim_b_value,initial_supported_claim,presentation_order,positive_control
F01,ALQEV,AQZI,BRUF,CLAIM_A,A_FIRST,1
F02,BUMIR,CEXU,DOVI,CLAIM_A,A_FIRST,0
F03,CEZON,ERPA,FUZQ,CLAIM_A,A_FIRST,0
F04,DAKUR,GAKI,HOBU,CLAIM_A,A_FIRST,0
F05,EFQAL,ITEQ,JYRA,CLAIM_A,A_FIRST,1
F06,GIMUX,KUPI,LEXU,CLAIM_A,A_FIRST,0
F07,HAZER,MADO,NUFY,CLAIM_A,A_FIRST,0
F08,IQVON,ORQI,PAVU,CLAIM_A,A_FIRST,0
F09,JUMEK,QEXI,RUDO,CLAIM_A,B_FIRST,0
F10,KEXAD,SEKI,TAVO,CLAIM_A,B_FIRST,1
F11,LORUM,UBRI,VEXU,CLAIM_A,B_FIRST,0
F12,MIZAK,WAPI,XERU,CLAIM_A,B_FIRST,0
F13,NUQER,ZUMI,AFKO,CLAIM_A,B_FIRST,0
F14,OXAVI,BIRU,COTA,CLAIM_A,B_FIRST,1
F15,PELUM,DEXU,EFRA,CLAIM_A,B_FIRST,0
F16,QEZAR,GIZO,HURQ,CLAIM_A,B_FIRST,0
F17,RIMOK,IKPA,JOVU,CLAIM_B,A_FIRST,0
F18,SULAV,KAZI,LUME,CLAIM_B,A_FIRST,0
F19,TEQIM,MURO,NEXU,CLAIM_B,A_FIRST,1
F20,UZARO,OPRA,PEXU,CLAIM_B,A_FIRST,0
F21,VEKUN,QURI,RAZO,CLAIM_B,A_FIRST,0
F22,WIMAR,SIFU,TOME,CLAIM_B,A_FIRST,0
F23,XODEN,URVA,VILO,CLAIM_B,A_FIRST,1
F24,YEKUV,WEXU,XARO,CLAIM_B,A_FIRST,0
F25,ZIMOR,YUBI,ZERA,CLAIM_B,B_FIRST,0
F26,AQLUN,ALPO,BUXI,CLAIM_B,B_FIRST,0
F27,BEXAM,CORU,DAFI,CLAIM_B,B_FIRST,0
F28,CUVOR,ELVU,FOPI,CLAIM_B,B_FIRST,1
F29,DIZEN,GURU,HAXI,CLAIM_B,B_FIRST,0
F30,EQMAR,IVRO,JENU,CLAIM_B,B_FIRST,0
F31,FUVAK,KILO,LARU,CLAIM_B,B_FIRST,0
F32,GOXEL,MEQI,NOZU,CLAIM_B,B_FIRST,1
